Selection	View	Channel	Begin Time (s)	End Time (s)	Begin Path
1	Spectrogram 1	1	1.494016	1.52832	ch1-2018-11-20_10-26-36_0000010.wav
2	Spectrogram 1	1	1.60768	1.659392	ch1-2018-11-20_10-26-36_0000010.wav
3	Spectrogram 1	1	2.16064	2.2016	ch1-2018-11-20_10-26-36_0000010.wav
4	Spectrogram 1	1	2.335744	2.371584	ch1-2018-11-20_10-26-36_0000010.wav
5	Spectrogram 1	1	2.806272	2.973184	ch1-2018-11-20_10-26-36_0000010.wav
6	Spectrogram 1	1	3.62752	3.686912	ch1-2018-11-20_10-26-36_0000010.wav
7	Spectrogram 1	1	5.248	5.270016	ch1-2018-11-20_10-26-36_0000010.wav
8	Spectrogram 1	1	6.575616	6.657536	ch1-2018-11-20_10-26-36_0000010.wav
9	Spectrogram 1	1	7.983616	8.00256	ch1-2018-11-20_10-26-36_0000010.wav
10	Spectrogram 1	1	8.657408	8.68096	ch1-2018-11-20_10-26-36_0000010.wav
11	Spectrogram 1	1	8.781824	8.81664	ch1-2018-11-20_10-26-36_0000010.wav
12	Spectrogram 1	1	9.163264	9.178624	ch1-2018-11-20_10-26-36_0000010.wav
13	Spectrogram 1	1	9.302528	9.355776	ch1-2018-11-20_10-26-36_0000010.wav
14	Spectrogram 1	1	10.59072	10.641408	ch1-2018-11-20_10-26-36_0000010.wav
15	Spectrogram 1	1	10.78016	10.830336	ch1-2018-11-20_10-26-36_0000010.wav
16	Spectrogram 1	1	11.19488	11.210752	ch1-2018-11-20_10-26-36_0000010.wav
17	Spectrogram 1	1	11.865088	11.956224	ch1-2018-11-20_10-26-36_0000010.wav
18	Spectrogram 1	1	12.072448	12.10368	ch1-2018-11-20_10-26-36_0000010.wav
19	Spectrogram 1	1	12.416	12.462592	ch1-2018-11-20_10-26-36_0000010.wav
20	Spectrogram 1	1	12.743168	12.757504	ch1-2018-11-20_10-26-36_0000010.wav
21	Spectrogram 1	1	13.031424	13.196288	ch1-2018-11-20_10-26-36_0000010.wav
22	Spectrogram 1	1	13.698048	13.753344	ch1-2018-11-20_10-26-36_0000010.wav
23	Spectrogram 1	1	14.266368	14.408704	ch1-2018-11-20_10-26-36_0000010.wav
24	Spectrogram 1	1	15.42656	15.443456	ch1-2018-11-20_10-26-36_0000010.wav
25	Spectrogram 1	1	16.207872	16.221184	ch1-2018-11-20_10-26-36_0000010.wav
26	Spectrogram 1	1	16.361472	16.403456	ch1-2018-11-20_10-26-36_0000010.wav
27	Spectrogram 1	1	16.8832	16.92928	ch1-2018-11-20_10-26-36_0000010.wav
28	Spectrogram 1	1	18.163712	18.208768	ch1-2018-11-20_10-26-36_0000010.wav
29	Spectrogram 1	1	18.521088	18.544128	ch1-2018-11-20_10-26-36_0000010.wav
30	Spectrogram 1	1	18.615808	18.640384	ch1-2018-11-20_10-26-36_0000010.wav
31	Spectrogram 1	1	18.714112	18.751488	ch1-2018-11-20_10-26-36_0000010.wav
32	Spectrogram 1	1	18.822656	18.843648	ch1-2018-11-20_10-26-36_0000010.wav
33	Spectrogram 1	1	20.114944	20.14464	ch1-2018-11-20_10-26-36_0000010.wav
34	Spectrogram 1	1	20.317696	20.345856	ch1-2018-11-20_10-26-36_0000010.wav
35	Spectrogram 1	1	22.904832	22.923776	ch1-2018-11-20_10-26-36_0000010.wav
36	Spectrogram 1	1	23.0784	23.099904	ch1-2018-11-20_10-26-36_0000010.wav
37	Spectrogram 1	1	23.862784	23.882752	ch1-2018-11-20_10-26-36_0000010.wav
38	Spectrogram 1	1	24.593408	24.6144	ch1-2018-11-20_10-26-36_0000010.wav
39	Spectrogram 1	1	24.706048	24.759808	ch1-2018-11-20_10-26-36_0000010.wav
40	Spectrogram 1	1	24.940032	24.964608	ch1-2018-11-20_10-26-36_0000010.wav
41	Spectrogram 1	1	25.298432	25.316352	ch1-2018-11-20_10-26-36_0000010.wav
42	Spectrogram 1	1	25.713664	25.7408	ch1-2018-11-20_10-26-36_0000010.wav
43	Spectrogram 1	1	25.852928	25.915392	ch1-2018-11-20_10-26-36_0000010.wav
44	Spectrogram 1	1	26.479616	26.508288	ch1-2018-11-20_10-26-36_0000010.wav
45	Spectrogram 1	1	27.181568	27.21536	ch1-2018-11-20_10-26-36_0000010.wav
46	Spectrogram 1	1	27.945472	28.003328	ch1-2018-11-20_10-26-36_0000010.wav
47	Spectrogram 1	1	28.135424	28.153344	ch1-2018-11-20_10-26-36_0000010.wav
48	Spectrogram 1	1	28.765184	28.810752	ch1-2018-11-20_10-26-36_0000010.wav
49	Spectrogram 1	1	29.462016	29.524992	ch1-2018-11-20_10-26-36_0000010.wav
50	Spectrogram 1	1	30.90432	30.963712	ch1-2018-11-20_10-26-36_0000010.wav
51	Spectrogram 1	1	31.823872	31.844864	ch1-2018-11-20_10-26-36_0000010.wav
52	Spectrogram 1	1	32.008192	32.062976	ch1-2018-11-20_10-26-36_0000010.wav
53	Spectrogram 1	1	33.448448	33.460736	ch1-2018-11-20_10-26-36_0000010.wav
54	Spectrogram 1	1	33.63584	33.659904	ch1-2018-11-20_10-26-36_0000010.wav
55	Spectrogram 1	1	33.690112	33.742336	ch1-2018-11-20_10-26-36_0000010.wav
56	Spectrogram 1	1	33.876992	33.936896	ch1-2018-11-20_10-26-36_0000010.wav
57	Spectrogram 1	1	34.120704	34.182656	ch1-2018-11-20_10-26-36_0000010.wav
58	Spectrogram 1	1	34.274304	34.311168	ch1-2018-11-20_10-26-36_0000010.wav
59	Spectrogram 1	1	34.37568	34.420224	ch1-2018-11-20_10-26-36_0000010.wav
60	Spectrogram 1	1	36.256256	36.291584	ch1-2018-11-20_10-26-36_0000010.wav
61	Spectrogram 1	1	36.924928	36.973056	ch1-2018-11-20_10-26-36_0000010.wav
62	Spectrogram 1	1	37.103616	37.115392	ch1-2018-11-20_10-26-36_0000010.wav
63	Spectrogram 1	1	37.67296	37.72672	ch1-2018-11-20_10-26-36_0000010.wav
64	Spectrogram 1	1	37.75744	37.768704	ch1-2018-11-20_10-26-36_0000010.wav
65	Spectrogram 1	1	38.302208	38.393344	ch1-2018-11-20_10-26-36_0000010.wav
66	Spectrogram 1	1	38.444032	38.456832	ch1-2018-11-20_10-26-36_0000010.wav
67	Spectrogram 1	1	39.146496	39.238144	ch1-2018-11-20_10-26-36_0000010.wav
68	Spectrogram 1	1	39.904768	39.950336	ch1-2018-11-20_10-26-36_0000010.wav
69	Spectrogram 1	1	40.343552	40.38656	ch1-2018-11-20_10-26-36_0000010.wav
70	Spectrogram 1	1	40.516608	40.55808	ch1-2018-11-20_10-26-36_0000010.wav
71	Spectrogram 1	1	40.659456	40.702464	ch1-2018-11-20_10-26-36_0000010.wav
72	Spectrogram 1	1	40.823296	40.87552	ch1-2018-11-20_10-26-36_0000010.wav
73	Spectrogram 1	1	41.337344	41.36704	ch1-2018-11-20_10-26-36_0000010.wav
74	Spectrogram 1	1	41.447936	41.457664	ch1-2018-11-20_10-26-36_0000010.wav
75	Spectrogram 1	1	41.92256	41.95328	ch1-2018-11-20_10-26-36_0000010.wav
76	Spectrogram 1	1	42.094592	42.14272	ch1-2018-11-20_10-26-36_0000010.wav
77	Spectrogram 1	1	42.750464	42.825216	ch1-2018-11-20_10-26-36_0000010.wav
78	Spectrogram 1	1	43.257856	43.29728	ch1-2018-11-20_10-26-36_0000010.wav
79	Spectrogram 1	1	43.897856	43.941376	ch1-2018-11-20_10-26-36_0000010.wav
80	Spectrogram 1	1	44.018688	44.059648	ch1-2018-11-20_10-26-36_0000010.wav
81	Spectrogram 1	1	44.886528	44.903424	ch1-2018-11-20_10-26-36_0000010.wav
82	Spectrogram 1	1	44.97664	45.000704	ch1-2018-11-20_10-26-36_0000010.wav
83	Spectrogram 1	1	45.07904	45.097984	ch1-2018-11-20_10-26-36_0000010.wav
84	Spectrogram 1	1	45.436416	45.474816	ch1-2018-11-20_10-26-36_0000010.wav
85	Spectrogram 1	1	45.547008	45.573632	ch1-2018-11-20_10-26-36_0000010.wav
86	Spectrogram 1	1	45.649408	45.684736	ch1-2018-11-20_10-26-36_0000010.wav
87	Spectrogram 1	1	46.143488	46.17984	ch1-2018-11-20_10-26-36_0000010.wav
88	Spectrogram 1	1	46.252544	46.296576	ch1-2018-11-20_10-26-36_0000010.wav
89	Spectrogram 1	1	46.360576	46.416896	ch1-2018-11-20_10-26-36_0000010.wav
90	Spectrogram 1	1	46.569472	46.603776	ch1-2018-11-20_10-26-36_0000010.wav
91	Spectrogram 1	1	46.76352	46.80704	ch1-2018-11-20_10-26-36_0000010.wav
92	Spectrogram 1	1	46.92224	46.936064	ch1-2018-11-20_10-26-36_0000010.wav
93	Spectrogram 1	1	47.021056	47.04	ch1-2018-11-20_10-26-36_0000010.wav
94	Spectrogram 1	1	47.217152	47.23712	ch1-2018-11-20_10-26-36_0000010.wav
95	Spectrogram 1	1	47.325696	47.368192	ch1-2018-11-20_10-26-36_0000010.wav
96	Spectrogram 1	1	47.524352	47.547392	ch1-2018-11-20_10-26-36_0000010.wav
97	Spectrogram 1	1	47.801344	47.831552	ch1-2018-11-20_10-26-36_0000010.wav
98	Spectrogram 1	1	49.399296	49.426944	ch1-2018-11-20_10-26-36_0000010.wav
99	Spectrogram 1	1	49.519616	49.53856	ch1-2018-11-20_10-26-36_0000010.wav
100	Spectrogram 1	1	49.62816	49.647616	ch1-2018-11-20_10-26-36_0000010.wav
101	Spectrogram 1	1	50.327552	50.382336	ch1-2018-11-20_10-26-36_0000010.wav
102	Spectrogram 1	1	50.817024	50.847232	ch1-2018-11-20_10-26-36_0000010.wav
103	Spectrogram 1	1	51.062784	51.109376	ch1-2018-11-20_10-26-36_0000010.wav
104	Spectrogram 1	1	51.826688	51.87328	ch1-2018-11-20_10-26-36_0000010.wav
105	Spectrogram 1	1	51.968512	52.051456	ch1-2018-11-20_10-26-36_0000010.wav
106	Spectrogram 1	1	52.453376	52.507648	ch1-2018-11-20_10-26-36_0000010.wav
107	Spectrogram 1	1	52.616192	52.672512	ch1-2018-11-20_10-26-36_0000010.wav
108	Spectrogram 1	1	52.738048	52.758528	ch1-2018-11-20_10-26-36_0000010.wav
109	Spectrogram 1	1	52.892672	52.925952	ch1-2018-11-20_10-26-36_0000010.wav
110	Spectrogram 1	1	53.175296	53.193728	ch1-2018-11-20_10-26-36_0000010.wav
111	Spectrogram 1	1	53.392384	53.410816	ch1-2018-11-20_10-26-36_0000010.wav
112	Spectrogram 1	1	53.541376	53.636096	ch1-2018-11-20_10-26-36_0000010.wav
113	Spectrogram 1	1	54.183424	54.21568	ch1-2018-11-20_10-26-36_0000010.wav
114	Spectrogram 1	1	54.409728	54.49216	ch1-2018-11-20_10-26-36_0000010.wav
115	Spectrogram 1	1	54.60992	54.672384	ch1-2018-11-20_10-26-36_0000010.wav
116	Spectrogram 1	1	55.32416	55.371264	ch1-2018-11-20_10-26-36_0000010.wav
117	Spectrogram 1	1	55.41376	55.438848	ch1-2018-11-20_10-26-36_0000010.wav
118	Spectrogram 1	1	55.567872	55.578112	ch1-2018-11-20_10-26-36_0000010.wav
119	Spectrogram 1	1	56.162304	56.216576	ch1-2018-11-20_10-26-36_0000010.wav
120	Spectrogram 1	1	56.382976	56.418816	ch1-2018-11-20_10-26-36_0000010.wav
121	Spectrogram 1	1	56.977408	57.043968	ch1-2018-11-20_10-26-36_0000010.wav
122	Spectrogram 1	1	57.796096	57.879552	ch1-2018-11-20_10-26-36_0000010.wav
123	Spectrogram 1	1	58.499584	58.599936	ch1-2018-11-20_10-26-36_0000010.wav
124	Spectrogram 1	1	59.263488	59.32032	ch1-2018-11-20_10-26-36_0000010.wav
125	Spectrogram 1	1	59.344384	59.354624	ch1-2018-11-20_10-26-36_0000010.wav
126	Spectrogram 1	1	61.583872	61.617664	ch1-2018-11-20_10-26-36_0000010.wav
127	Spectrogram 1	1	61.694464	61.7344	ch1-2018-11-20_10-26-36_0000010.wav
128	Spectrogram 1	1	62.275072	62.345216	ch1-2018-11-20_10-26-36_0000010.wav
129	Spectrogram 1	1	62.634496	62.679552	ch1-2018-11-20_10-26-36_0000010.wav
130	Spectrogram 1	1	63.083008	63.104512	ch1-2018-11-20_10-26-36_0000010.wav
131	Spectrogram 1	1	63.86176	63.920128	ch1-2018-11-20_10-26-36_0000010.wav
132	Spectrogram 1	1	64.162304	64.184832	ch1-2018-11-20_10-26-36_0000010.wav
133	Spectrogram 1	1	64.65792	64.71936	ch1-2018-11-20_10-26-36_0000010.wav
134	Spectrogram 1	1	65.115648	65.219072	ch1-2018-11-20_10-26-36_0000010.wav
135	Spectrogram 1	1	65.346048	65.468416	ch1-2018-11-20_10-26-36_0000010.wav
136	Spectrogram 1	1	65.628672	65.72544	ch1-2018-11-20_10-26-36_0000010.wav
137	Spectrogram 1	1	66.225664	66.313728	ch1-2018-11-20_10-26-36_0000010.wav
138	Spectrogram 1	1	66.63424	66.655744	ch1-2018-11-20_10-26-36_0000010.wav
139	Spectrogram 1	1	66.8416	66.907648	ch1-2018-11-20_10-26-36_0000010.wav
140	Spectrogram 1	1	67.488256	67.544576	ch1-2018-11-20_10-26-36_0000010.wav
141	Spectrogram 1	1	67.8912	67.941888	ch1-2018-11-20_10-26-36_0000010.wav
142	Spectrogram 1	1	68.20096	68.233216	ch1-2018-11-20_10-26-36_0000010.wav
143	Spectrogram 1	1	68.624896	68.685824	ch1-2018-11-20_10-26-36_0000010.wav
144	Spectrogram 1	1	68.993536	69.013504	ch1-2018-11-20_10-26-36_0000010.wav
145	Spectrogram 1	1	69.208576	69.265408	ch1-2018-11-20_10-26-36_0000010.wav
146	Spectrogram 1	1	69.43232	69.463552	ch1-2018-11-20_10-26-36_0000010.wav
147	Spectrogram 1	1	69.90848	69.958656	ch1-2018-11-20_10-26-36_0000010.wav
148	Spectrogram 1	1	70.181888	70.206464	ch1-2018-11-20_10-26-36_0000010.wav
149	Spectrogram 1	1	70.308864	70.337024	ch1-2018-11-20_10-26-36_0000010.wav
150	Spectrogram 1	1	70.60224	70.656	ch1-2018-11-20_10-26-36_0000010.wav
151	Spectrogram 1	1	71.17568	71.2448	ch1-2018-11-20_10-26-36_0000010.wav
152	Spectrogram 1	1	71.77984	71.854592	ch1-2018-11-20_10-26-36_0000010.wav
153	Spectrogram 1	1	71.937536	71.963648	ch1-2018-11-20_10-26-36_0000010.wav
154	Spectrogram 1	1	72.729088	72.759808	ch1-2018-11-20_10-26-36_0000010.wav
155	Spectrogram 1	1	73.032704	73.051648	ch1-2018-11-20_10-26-36_0000010.wav
156	Spectrogram 1	1	73.309696	73.342976	ch1-2018-11-20_10-26-36_0000010.wav
157	Spectrogram 1	1	73.417728	73.444864	ch1-2018-11-20_10-26-36_0000010.wav
158	Spectrogram 1	1	73.515008	73.544192	ch1-2018-11-20_10-26-36_0000010.wav
159	Spectrogram 1	1	73.647104	73.665024	ch1-2018-11-20_10-26-36_0000010.wav
160	Spectrogram 1	1	73.823744	73.843712	ch1-2018-11-20_10-26-36_0000010.wav
161	Spectrogram 1	1	73.923584	73.949184	ch1-2018-11-20_10-26-36_0000010.wav
162	Spectrogram 1	1	74.122752	74.174464	ch1-2018-11-20_10-26-36_0000010.wav
163	Spectrogram 1	1	74.243584	74.316288	ch1-2018-11-20_10-26-36_0000010.wav
164	Spectrogram 1	1	76.3776	76.41856	ch1-2018-11-20_10-26-36_0000010.wav
165	Spectrogram 1	1	76.726784	76.771328	ch1-2018-11-20_10-26-36_0000010.wav
166	Spectrogram 1	1	76.864	76.890624	ch1-2018-11-20_10-26-36_0000010.wav
167	Spectrogram 1	1	77.365248	77.402624	ch1-2018-11-20_10-26-36_0000010.wav
168	Spectrogram 1	1	77.921792	77.978624	ch1-2018-11-20_10-26-36_0000010.wav
169	Spectrogram 1	1	78.061056	78.082048	ch1-2018-11-20_10-26-36_0000010.wav
170	Spectrogram 1	1	78.313984	78.35648	ch1-2018-11-20_10-26-36_0000010.wav
171	Spectrogram 1	1	79.15008	79.203328	ch1-2018-11-20_10-26-36_0000010.wav
172	Spectrogram 1	1	79.22944	79.287808	ch1-2018-11-20_10-26-36_0000010.wav
173	Spectrogram 1	1	79.33952	79.374336	ch1-2018-11-20_10-26-36_0000010.wav
174	Spectrogram 1	1	79.87712	79.909888	ch1-2018-11-20_10-26-36_0000010.wav
175	Spectrogram 1	1	79.993856	80.026112	ch1-2018-11-20_10-26-36_0000010.wav
176	Spectrogram 1	1	80.701952	80.715776	ch1-2018-11-20_10-26-36_0000010.wav
177	Spectrogram 1	1	80.87808	80.889344	ch1-2018-11-20_10-26-36_0000010.wav
178	Spectrogram 1	1	81.66144	81.694208	ch1-2018-11-20_10-26-36_0000010.wav
179	Spectrogram 1	1	82.284544	82.330624	ch1-2018-11-20_10-26-36_0000010.wav
180	Spectrogram 1	1	83.196416	83.277824	ch1-2018-11-20_10-26-36_0000010.wav
181	Spectrogram 1	1	83.94496	83.994112	ch1-2018-11-20_10-26-36_0000010.wav
182	Spectrogram 1	1	84.722688	84.795392	ch1-2018-11-20_10-26-36_0000010.wav
