Selection	View	Channel	Begin Time (s)	End Time (s)	Begin Path
1	Spectrogram 1	1	1.496064	1.508864	ch1-2018-11-20_10-26-36_0000010.wav
2	Spectrogram 1	1	1.515008	1.525248	ch1-2018-11-20_10-26-36_0000010.wav
3	Spectrogram 1	1	1.618432	1.659904	ch1-2018-11-20_10-26-36_0000010.wav
4	Spectrogram 1	1	2.1632	2.200064	ch1-2018-11-20_10-26-36_0000010.wav
5	Spectrogram 1	1	2.33728	2.376192	ch1-2018-11-20_10-26-36_0000010.wav
6	Spectrogram 1	1	2.400768	2.412544	ch1-2018-11-20_10-26-36_0000010.wav
7	Spectrogram 1	1	2.901504	2.973184	ch1-2018-11-20_10-26-36_0000010.wav
8	Spectrogram 1	1	3.098112	3.119616	ch1-2018-11-20_10-26-36_0000010.wav
9	Spectrogram 1	1	3.13088	3.144192	ch1-2018-11-20_10-26-36_0000010.wav
10	Spectrogram 1	1	4.856832	4.875264	ch1-2018-11-20_10-26-36_0000010.wav
11	Spectrogram 1	1	5.251584	5.261824	ch1-2018-11-20_10-26-36_0000010.wav
12	Spectrogram 1	1	6.574592	6.656512	ch1-2018-11-20_10-26-36_0000010.wav
13	Spectrogram 1	1	8.654848	8.679936	ch1-2018-11-20_10-26-36_0000010.wav
14	Spectrogram 1	1	8.783872	8.817664	ch1-2018-11-20_10-26-36_0000010.wav
15	Spectrogram 1	1	9.166336	9.178112	ch1-2018-11-20_10-26-36_0000010.wav
16	Spectrogram 1	1	9.295872	9.357312	ch1-2018-11-20_10-26-36_0000010.wav
17	Spectrogram 1	1	9.50016	9.51296	ch1-2018-11-20_10-26-36_0000010.wav
18	Spectrogram 1	1	10.064384	10.076672	ch1-2018-11-20_10-26-36_0000010.wav
19	Spectrogram 1	1	10.322432	10.336768	ch1-2018-11-20_10-26-36_0000010.wav
20	Spectrogram 1	1	10.341888	10.355712	ch1-2018-11-20_10-26-36_0000010.wav
21	Spectrogram 1	1	10.58048	10.639872	ch1-2018-11-20_10-26-36_0000010.wav
22	Spectrogram 1	1	10.783744	10.829312	ch1-2018-11-20_10-26-36_0000010.wav
23	Spectrogram 1	1	10.974208	11.006976	ch1-2018-11-20_10-26-36_0000010.wav
24	Spectrogram 1	1	11.252224	11.282944	ch1-2018-11-20_10-26-36_0000010.wav
25	Spectrogram 1	1	11.561984	11.598336	ch1-2018-11-20_10-26-36_0000010.wav
26	Spectrogram 1	1	11.867648	11.955712	ch1-2018-11-20_10-26-36_0000010.wav
27	Spectrogram 1	1	12.414976	12.463616	ch1-2018-11-20_10-26-36_0000010.wav
28	Spectrogram 1	1	13.037056	13.201408	ch1-2018-11-20_10-26-36_0000010.wav
29	Spectrogram 1	1	13.702656	13.764608	ch1-2018-11-20_10-26-36_0000010.wav
30	Spectrogram 1	1	13.835264	13.845504	ch1-2018-11-20_10-26-36_0000010.wav
31	Spectrogram 1	1	14.268928	14.369792	ch1-2018-11-20_10-26-36_0000010.wav
32	Spectrogram 1	1	15.13472	15.155712	ch1-2018-11-20_10-26-36_0000010.wav
33	Spectrogram 1	1	15.171072	15.198208	ch1-2018-11-20_10-26-36_0000010.wav
34	Spectrogram 1	1	15.201792	15.217152	ch1-2018-11-20_10-26-36_0000010.wav
35	Spectrogram 1	1	15.45216	15.484416	ch1-2018-11-20_10-26-36_0000010.wav
36	Spectrogram 1	1	16.376832	16.403456	ch1-2018-11-20_10-26-36_0000010.wav
37	Spectrogram 1	1	16.436736	16.446464	ch1-2018-11-20_10-26-36_0000010.wav
38	Spectrogram 1	1	16.88576	16.930304	ch1-2018-11-20_10-26-36_0000010.wav
39	Spectrogram 1	1	17.859584	17.872384	ch1-2018-11-20_10-26-36_0000010.wav
40	Spectrogram 1	1	17.876992	17.891328	ch1-2018-11-20_10-26-36_0000010.wav
41	Spectrogram 1	1	18.166272	18.208768	ch1-2018-11-20_10-26-36_0000010.wav
42	Spectrogram 1	1	18.220032	18.236416	ch1-2018-11-20_10-26-36_0000010.wav
43	Spectrogram 1	1	18.341888	18.351616	ch1-2018-11-20_10-26-36_0000010.wav
44	Spectrogram 1	1	18.364928	18.381824	ch1-2018-11-20_10-26-36_0000010.wav
45	Spectrogram 1	1	18.516992	18.5728	ch1-2018-11-20_10-26-36_0000010.wav
46	Spectrogram 1	1	18.618368	18.640896	ch1-2018-11-20_10-26-36_0000010.wav
47	Spectrogram 1	1	18.675712	18.793984	ch1-2018-11-20_10-26-36_0000010.wav
48	Spectrogram 1	1	18.838528	18.855424	ch1-2018-11-20_10-26-36_0000010.wav
49	Spectrogram 1	1	18.945536	18.968064	ch1-2018-11-20_10-26-36_0000010.wav
50	Spectrogram 1	1	18.988544	18.998272	ch1-2018-11-20_10-26-36_0000010.wav
51	Spectrogram 1	1	19.002368	19.023872	ch1-2018-11-20_10-26-36_0000010.wav
52	Spectrogram 1	1	19.027456	19.049984	ch1-2018-11-20_10-26-36_0000010.wav
53	Spectrogram 1	1	20.083712	20.107264	ch1-2018-11-20_10-26-36_0000010.wav
54	Spectrogram 1	1	20.114944	20.14464	ch1-2018-11-20_10-26-36_0000010.wav
55	Spectrogram 1	1	20.182528	20.19328	ch1-2018-11-20_10-26-36_0000010.wav
56	Spectrogram 1	1	20.230656	20.245504	ch1-2018-11-20_10-26-36_0000010.wav
57	Spectrogram 1	1	20.260352	20.280832	ch1-2018-11-20_10-26-36_0000010.wav
58	Spectrogram 1	1	20.29568	20.40832	ch1-2018-11-20_10-26-36_0000010.wav
59	Spectrogram 1	1	20.412928	20.509696	ch1-2018-11-20_10-26-36_0000010.wav
60	Spectrogram 1	1	20.526592	20.537856	ch1-2018-11-20_10-26-36_0000010.wav
61	Spectrogram 1	1	20.589568	20.61824	ch1-2018-11-20_10-26-36_0000010.wav
62	Spectrogram 1	1	20.624384	20.638208	ch1-2018-11-20_10-26-36_0000010.wav
63	Spectrogram 1	1	20.960256	20.969984	ch1-2018-11-20_10-26-36_0000010.wav
64	Spectrogram 1	1	22.910976	22.920704	ch1-2018-11-20_10-26-36_0000010.wav
65	Spectrogram 1	1	23.005696	23.029248	ch1-2018-11-20_10-26-36_0000010.wav
66	Spectrogram 1	1	23.032832	23.099904	ch1-2018-11-20_10-26-36_0000010.wav
67	Spectrogram 1	1	23.104	23.228928	ch1-2018-11-20_10-26-36_0000010.wav
68	Spectrogram 1	1	24.740864	24.759296	ch1-2018-11-20_10-26-36_0000010.wav
69	Spectrogram 1	1	25.338368	25.371648	ch1-2018-11-20_10-26-36_0000010.wav
70	Spectrogram 1	1	25.7152	25.741824	ch1-2018-11-20_10-26-36_0000010.wav
71	Spectrogram 1	1	25.83808	25.847808	ch1-2018-11-20_10-26-36_0000010.wav
72	Spectrogram 1	1	25.854464	25.916416	ch1-2018-11-20_10-26-36_0000010.wav
73	Spectrogram 1	1	26.481152	26.504704	ch1-2018-11-20_10-26-36_0000010.wav
74	Spectrogram 1	1	26.624512	26.635264	ch1-2018-11-20_10-26-36_0000010.wav
75	Spectrogram 1	1	26.660352	26.680832	ch1-2018-11-20_10-26-36_0000010.wav
76	Spectrogram 1	1	26.735616	26.76224	ch1-2018-11-20_10-26-36_0000010.wav
77	Spectrogram 1	1	27.186688	27.216384	ch1-2018-11-20_10-26-36_0000010.wav
78	Spectrogram 1	1	27.490304	27.52	ch1-2018-11-20_10-26-36_0000010.wav
79	Spectrogram 1	1	27.534336	27.575808	ch1-2018-11-20_10-26-36_0000010.wav
80	Spectrogram 1	1	27.948032	27.999744	ch1-2018-11-20_10-26-36_0000010.wav
81	Spectrogram 1	1	28.137472	28.150272	ch1-2018-11-20_10-26-36_0000010.wav
82	Spectrogram 1	1	28.767744	28.806656	ch1-2018-11-20_10-26-36_0000010.wav
83	Spectrogram 1	1	29.465088	29.525504	ch1-2018-11-20_10-26-36_0000010.wav
84	Spectrogram 1	1	30.647808	30.663168	ch1-2018-11-20_10-26-36_0000010.wav
85	Spectrogram 1	1	30.668288	30.697472	ch1-2018-11-20_10-26-36_0000010.wav
86	Spectrogram 1	1	30.90688	30.963712	ch1-2018-11-20_10-26-36_0000010.wav
87	Spectrogram 1	1	31.273984	31.284736	ch1-2018-11-20_10-26-36_0000010.wav
88	Spectrogram 1	1	31.439872	31.450112	ch1-2018-11-20_10-26-36_0000010.wav
89	Spectrogram 1	1	31.829504	31.845376	ch1-2018-11-20_10-26-36_0000010.wav
90	Spectrogram 1	1	32.011776	32.043008	ch1-2018-11-20_10-26-36_0000010.wav
91	Spectrogram 1	1	33.381888	33.396736	ch1-2018-11-20_10-26-36_0000010.wav
92	Spectrogram 1	1	33.450496	33.46176	ch1-2018-11-20_10-26-36_0000010.wav
93	Spectrogram 1	1	33.69216	33.732608	ch1-2018-11-20_10-26-36_0000010.wav
94	Spectrogram 1	1	34.37824	34.400256	ch1-2018-11-20_10-26-36_0000010.wav
95	Spectrogram 1	1	34.747392	34.80576	ch1-2018-11-20_10-26-36_0000010.wav
96	Spectrogram 1	1	35.345408	35.358208	ch1-2018-11-20_10-26-36_0000010.wav
97	Spectrogram 1	1	36.940288	36.973056	ch1-2018-11-20_10-26-36_0000010.wav
98	Spectrogram 1	1	37.234176	37.246464	ch1-2018-11-20_10-26-36_0000010.wav
99	Spectrogram 1	1	37.67552	37.720064	ch1-2018-11-20_10-26-36_0000010.wav
100	Spectrogram 1	1	37.791744	37.807104	ch1-2018-11-20_10-26-36_0000010.wav
101	Spectrogram 1	1	38.304256	38.387712	ch1-2018-11-20_10-26-36_0000010.wav
102	Spectrogram 1	1	38.662144	38.762496	ch1-2018-11-20_10-26-36_0000010.wav
103	Spectrogram 1	1	39.149056	39.215616	ch1-2018-11-20_10-26-36_0000010.wav
104	Spectrogram 1	1	39.453696	39.547392	ch1-2018-11-20_10-26-36_0000010.wav
105	Spectrogram 1	1	39.923712	39.936512	ch1-2018-11-20_10-26-36_0000010.wav
106	Spectrogram 1	1	40.346112	40.38656	ch1-2018-11-20_10-26-36_0000010.wav
107	Spectrogram 1	1	40.51968	40.558592	ch1-2018-11-20_10-26-36_0000010.wav
108	Spectrogram 1	1	40.662016	40.694784	ch1-2018-11-20_10-26-36_0000010.wav
109	Spectrogram 1	1	40.825856	40.877056	ch1-2018-11-20_10-26-36_0000010.wav
110	Spectrogram 1	1	41.354752	41.367552	ch1-2018-11-20_10-26-36_0000010.wav
111	Spectrogram 1	1	41.40032	41.434624	ch1-2018-11-20_10-26-36_0000010.wav
112	Spectrogram 1	1	41.926144	41.950208	ch1-2018-11-20_10-26-36_0000010.wav
113	Spectrogram 1	1	42.113024	42.141696	ch1-2018-11-20_10-26-36_0000010.wav
114	Spectrogram 1	1	42.16832	42.237952	ch1-2018-11-20_10-26-36_0000010.wav
115	Spectrogram 1	1	42.753024	42.82624	ch1-2018-11-20_10-26-36_0000010.wav
116	Spectrogram 1	1	42.952192	42.991616	ch1-2018-11-20_10-26-36_0000010.wav
117	Spectrogram 1	1	43.260416	43.293184	ch1-2018-11-20_10-26-36_0000010.wav
118	Spectrogram 1	1	43.431424	43.488256	ch1-2018-11-20_10-26-36_0000010.wav
119	Spectrogram 1	1	43.633664	43.671552	ch1-2018-11-20_10-26-36_0000010.wav
120	Spectrogram 1	1	43.679744	43.774976	ch1-2018-11-20_10-26-36_0000010.wav
121	Spectrogram 1	1	43.900416	43.940352	ch1-2018-11-20_10-26-36_0000010.wav
122	Spectrogram 1	1	44.032512	44.06016	ch1-2018-11-20_10-26-36_0000010.wav
123	Spectrogram 1	1	44.889088	44.901376	ch1-2018-11-20_10-26-36_0000010.wav
124	Spectrogram 1	1	44.9792	45.000704	ch1-2018-11-20_10-26-36_0000010.wav
125	Spectrogram 1	1	45.078016	45.098496	ch1-2018-11-20_10-26-36_0000010.wav
126	Spectrogram 1	1	45.439488	45.537792	ch1-2018-11-20_10-26-36_0000010.wav
127	Spectrogram 1	1	45.549568	45.574144	ch1-2018-11-20_10-26-36_0000010.wav
128	Spectrogram 1	1	45.636096	45.708288	ch1-2018-11-20_10-26-36_0000010.wav
129	Spectrogram 1	1	45.748224	45.76256	ch1-2018-11-20_10-26-36_0000010.wav
130	Spectrogram 1	1	45.950464	45.96736	ch1-2018-11-20_10-26-36_0000010.wav
131	Spectrogram 1	1	46.142464	46.180352	ch1-2018-11-20_10-26-36_0000010.wav
132	Spectrogram 1	1	46.21824	46.231552	ch1-2018-11-20_10-26-36_0000010.wav
133	Spectrogram 1	1	46.250496	46.298112	ch1-2018-11-20_10-26-36_0000010.wav
134	Spectrogram 1	1	46.304768	46.327808	ch1-2018-11-20_10-26-36_0000010.wav
135	Spectrogram 1	1	46.363648	46.418944	ch1-2018-11-20_10-26-36_0000010.wav
136	Spectrogram 1	1	46.492672	46.50752	ch1-2018-11-20_10-26-36_0000010.wav
137	Spectrogram 1	1	46.513152	46.604288	ch1-2018-11-20_10-26-36_0000010.wav
138	Spectrogram 1	1	46.69696	46.71744	ch1-2018-11-20_10-26-36_0000010.wav
139	Spectrogram 1	1	46.869504	46.887424	ch1-2018-11-20_10-26-36_0000010.wav
140	Spectrogram 1	1	46.895104	46.90688	ch1-2018-11-20_10-26-36_0000010.wav
141	Spectrogram 1	1	46.964736	47.069696	ch1-2018-11-20_10-26-36_0000010.wav
142	Spectrogram 1	1	47.10656	47.131136	ch1-2018-11-20_10-26-36_0000010.wav
143	Spectrogram 1	1	47.145472	47.1552	ch1-2018-11-20_10-26-36_0000010.wav
144	Spectrogram 1	1	47.190528	47.201792	ch1-2018-11-20_10-26-36_0000010.wav
145	Spectrogram 1	1	47.218688	47.26272	ch1-2018-11-20_10-26-36_0000010.wav
146	Spectrogram 1	1	47.30368	47.320064	ch1-2018-11-20_10-26-36_0000010.wav
147	Spectrogram 1	1	47.325184	47.369216	ch1-2018-11-20_10-26-36_0000010.wav
148	Spectrogram 1	1	47.491584	47.520256	ch1-2018-11-20_10-26-36_0000010.wav
149	Spectrogram 1	1	47.527936	47.547904	ch1-2018-11-20_10-26-36_0000010.wav
150	Spectrogram 1	1	47.80288	47.832576	ch1-2018-11-20_10-26-36_0000010.wav
151	Spectrogram 1	1	49.409536	49.426944	ch1-2018-11-20_10-26-36_0000010.wav
152	Spectrogram 1	1	49.521664	49.539072	ch1-2018-11-20_10-26-36_0000010.wav
153	Spectrogram 1	1	50.339328	50.352128	ch1-2018-11-20_10-26-36_0000010.wav
154	Spectrogram 1	1	51.065856	51.099648	ch1-2018-11-20_10-26-36_0000010.wav
155	Spectrogram 1	1	51.829248	51.86048	ch1-2018-11-20_10-26-36_0000010.wav
156	Spectrogram 1	1	51.972096	51.995136	ch1-2018-11-20_10-26-36_0000010.wav
157	Spectrogram 1	1	52.002816	52.051968	ch1-2018-11-20_10-26-36_0000010.wav
158	Spectrogram 1	1	53.547008	53.57568	ch1-2018-11-20_10-26-36_0000010.wav
159	Spectrogram 1	1	53.581312	53.635072	ch1-2018-11-20_10-26-36_0000010.wav
160	Spectrogram 1	1	54.42304	54.494208	ch1-2018-11-20_10-26-36_0000010.wav
161	Spectrogram 1	1	54.628352	54.64576	ch1-2018-11-20_10-26-36_0000010.wav
162	Spectrogram 1	1	55.001088	55.012352	ch1-2018-11-20_10-26-36_0000010.wav
163	Spectrogram 1	1	55.328768	55.36768	ch1-2018-11-20_10-26-36_0000010.wav
164	Spectrogram 1	1	55.942656	55.961088	ch1-2018-11-20_10-26-36_0000010.wav
165	Spectrogram 1	1	56.166912	56.208384	ch1-2018-11-20_10-26-36_0000010.wav
166	Spectrogram 1	1	56.385024	56.418304	ch1-2018-11-20_10-26-36_0000010.wav
167	Spectrogram 1	1	56.979456	57.016832	ch1-2018-11-20_10-26-36_0000010.wav
168	Spectrogram 1	1	57.799168	57.860096	ch1-2018-11-20_10-26-36_0000010.wav
169	Spectrogram 1	1	58.50112	58.59328	ch1-2018-11-20_10-26-36_0000010.wav
170	Spectrogram 1	1	59.26656	59.321856	ch1-2018-11-20_10-26-36_0000010.wav
171	Spectrogram 1	1	60.75648	60.767232	ch1-2018-11-20_10-26-36_0000010.wav
172	Spectrogram 1	1	61.58592	61.61408	ch1-2018-11-20_10-26-36_0000010.wav
173	Spectrogram 1	1	61.69344	61.734912	ch1-2018-11-20_10-26-36_0000010.wav
174	Spectrogram 1	1	62.279168	62.317056	ch1-2018-11-20_10-26-36_0000010.wav
175	Spectrogram 1	1	62.658048	62.681088	ch1-2018-11-20_10-26-36_0000010.wav
176	Spectrogram 1	1	63.863808	63.920128	ch1-2018-11-20_10-26-36_0000010.wav
177	Spectrogram 1	1	64.661504	64.712704	ch1-2018-11-20_10-26-36_0000010.wav
178	Spectrogram 1	1	65.352192	65.363456	ch1-2018-11-20_10-26-36_0000010.wav
179	Spectrogram 1	1	65.369088	65.44384	ch1-2018-11-20_10-26-36_0000010.wav
180	Spectrogram 1	1	65.641472	65.67168	ch1-2018-11-20_10-26-36_0000010.wav
181	Spectrogram 1	1	65.675264	65.69472	ch1-2018-11-20_10-26-36_0000010.wav
182	Spectrogram 1	1	66.227712	66.25536	ch1-2018-11-20_10-26-36_0000010.wav
183	Spectrogram 1	1	66.287104	66.312704	ch1-2018-11-20_10-26-36_0000010.wav
184	Spectrogram 1	1	66.863616	66.90304	ch1-2018-11-20_10-26-36_0000010.wav
185	Spectrogram 1	1	67.51232	67.533312	ch1-2018-11-20_10-26-36_0000010.wav
186	Spectrogram 1	1	67.563008	67.57888	ch1-2018-11-20_10-26-36_0000010.wav
187	Spectrogram 1	1	67.590144	67.607552	ch1-2018-11-20_10-26-36_0000010.wav
188	Spectrogram 1	1	67.88608	67.897856	ch1-2018-11-20_10-26-36_0000010.wav
189	Spectrogram 1	1	67.905536	67.941376	ch1-2018-11-20_10-26-36_0000010.wav
190	Spectrogram 1	1	67.949568	67.962368	ch1-2018-11-20_10-26-36_0000010.wav
191	Spectrogram 1	1	68.19328	68.227584	ch1-2018-11-20_10-26-36_0000010.wav
192	Spectrogram 1	1	68.239872	68.2496	ch1-2018-11-20_10-26-36_0000010.wav
193	Spectrogram 1	1	68.627968	68.688384	ch1-2018-11-20_10-26-36_0000010.wav
194	Spectrogram 1	1	69.003776	69.016064	ch1-2018-11-20_10-26-36_0000010.wav
195	Spectrogram 1	1	69.174272	69.185536	ch1-2018-11-20_10-26-36_0000010.wav
196	Spectrogram 1	1	69.218816	69.262848	ch1-2018-11-20_10-26-36_0000010.wav
197	Spectrogram 1	1	69.448192	69.459968	ch1-2018-11-20_10-26-36_0000010.wav
198	Spectrogram 1	1	70.188032	70.20032	ch1-2018-11-20_10-26-36_0000010.wav
199	Spectrogram 1	1	70.282752	70.304256	ch1-2018-11-20_10-26-36_0000010.wav
200	Spectrogram 1	1	70.600192	70.65088	ch1-2018-11-20_10-26-36_0000010.wav
201	Spectrogram 1	1	70.75072	70.797312	ch1-2018-11-20_10-26-36_0000010.wav
202	Spectrogram 1	1	71.177728	71.207936	ch1-2018-11-20_10-26-36_0000010.wav
203	Spectrogram 1	1	71.798272	71.854592	ch1-2018-11-20_10-26-36_0000010.wav
204	Spectrogram 1	1	71.940608	71.968768	ch1-2018-11-20_10-26-36_0000010.wav
205	Spectrogram 1	1	73.040384	73.051136	ch1-2018-11-20_10-26-36_0000010.wav
206	Spectrogram 1	1	73.284608	73.296384	ch1-2018-11-20_10-26-36_0000010.wav
207	Spectrogram 1	1	73.312256	73.343488	ch1-2018-11-20_10-26-36_0000010.wav
208	Spectrogram 1	1	73.517056	73.546752	ch1-2018-11-20_10-26-36_0000010.wav
209	Spectrogram 1	1	73.649152	73.668096	ch1-2018-11-20_10-26-36_0000010.wav
