Selection	View	Channel	Begin Time (s)	End Time (s)	Begin Path
1	Spectrogram 1	1	1.496064	1.527808	ch1-2018-11-20_10-26-36_0000010.wav
2	Spectrogram 1	1	1.618432	1.660416	ch1-2018-11-20_10-26-36_0000010.wav
3	Spectrogram 1	1	2.1632	2.201088	ch1-2018-11-20_10-26-36_0000010.wav
4	Spectrogram 1	1	2.33728	2.372608	ch1-2018-11-20_10-26-36_0000010.wav
5	Spectrogram 1	1	2.895872	2.973696	ch1-2018-11-20_10-26-36_0000010.wav
6	Spectrogram 1	1	3.098112	3.148288	ch1-2018-11-20_10-26-36_0000010.wav
7	Spectrogram 1	1	4.5568	4.575744	ch1-2018-11-20_10-26-36_0000010.wav
8	Spectrogram 1	1	4.856832	4.875776	ch1-2018-11-20_10-26-36_0000010.wav
9	Spectrogram 1	1	6.577664	6.657536	ch1-2018-11-20_10-26-36_0000010.wav
10	Spectrogram 1	1	7.456768	7.46752	ch1-2018-11-20_10-26-36_0000010.wav
11	Spectrogram 1	1	8.139776	8.150016	ch1-2018-11-20_10-26-36_0000010.wav
12	Spectrogram 1	1	8.180224	8.193024	ch1-2018-11-20_10-26-36_0000010.wav
13	Spectrogram 1	1	8.221696	8.233984	ch1-2018-11-20_10-26-36_0000010.wav
14	Spectrogram 1	1	8.655872	8.686592	ch1-2018-11-20_10-26-36_0000010.wav
15	Spectrogram 1	1	8.784384	8.817664	ch1-2018-11-20_10-26-36_0000010.wav
16	Spectrogram 1	1	8.958976	8.969216	ch1-2018-11-20_10-26-36_0000010.wav
17	Spectrogram 1	1	8.982528	9.00608	ch1-2018-11-20_10-26-36_0000010.wav
18	Spectrogram 1	1	9.165824	9.178112	ch1-2018-11-20_10-26-36_0000010.wav
19	Spectrogram 1	1	9.301504	9.357312	ch1-2018-11-20_10-26-36_0000010.wav
20	Spectrogram 1	1	9.498624	9.51296	ch1-2018-11-20_10-26-36_0000010.wav
21	Spectrogram 1	1	10.04544	10.0608	ch1-2018-11-20_10-26-36_0000010.wav
22	Spectrogram 1	1	10.064896	10.078208	ch1-2018-11-20_10-26-36_0000010.wav
23	Spectrogram 1	1	10.347008	10.361344	ch1-2018-11-20_10-26-36_0000010.wav
24	Spectrogram 1	1	10.59072	10.63936	ch1-2018-11-20_10-26-36_0000010.wav
25	Spectrogram 1	1	10.78272	10.829312	ch1-2018-11-20_10-26-36_0000010.wav
26	Spectrogram 1	1	10.958848	10.971136	ch1-2018-11-20_10-26-36_0000010.wav
27	Spectrogram 1	1	10.975232	11.016192	ch1-2018-11-20_10-26-36_0000010.wav
28	Spectrogram 1	1	11.249152	11.278848	ch1-2018-11-20_10-26-36_0000010.wav
29	Spectrogram 1	1	11.575296	11.59424	ch1-2018-11-20_10-26-36_0000010.wav
30	Spectrogram 1	1	11.597824	11.613696	ch1-2018-11-20_10-26-36_0000010.wav
