Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)	Begin File	Delta Freq (Hz)	USV TYPE
1	Spectrogram 1	1	3.906449029	4.897027461	0.991	19622.1	27374.0	22460.9	23925.8	ch1-2018-11-20_10-17-43_0000004.wav	7751.9	22-kHz
2	Spectrogram 1	1	4.982955471	5.587635094	0.605	19622.1	24951.6	21484.4	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	5329.5	22-kHz call
3	Spectrogram 1	1	5.691707346	5.926660870	0.235	21075.6	24709.3	22949.2	24414.1	ch1-2018-11-20_10-17-43_0000004.wav	3633.7	22-kHz call
4	Spectrogram 1	1	6.178659481	6.742458089	0.564	19864.3	23740.3	21972.7	23437.5	ch1-2018-11-20_10-17-43_0000004.wav	3876.0	22-kHz call
5	Spectrogram 1	1	7.165840785	7.683367476	0.518	19864.3	23498.1	21484.4	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	3633.8	22-kHz call
6	Spectrogram 1	1	7.792582061	8.454764650	0.662	20348.8	24224.8	21972.7	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	3876.0	22-kHz call
7	Spectrogram 1	1	8.661987528	9.512851723	0.851	19864.3	23982.6	21972.7	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	4118.3	22-kHz call
8	Spectrogram 1	1	9.650616669	9.987997351	0.337	20106.6	23498.1	21972.7	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	3391.5	22-kHz call
9	Spectrogram 1	1	10.084558707	11.013766461	0.929	19379.8	24467.1	21972.7	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	5087.3	22-kHz call
10	Spectrogram 1	1	11.151320464	11.702781710	0.551	20178.2	23584.9	21972.7	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	3406.7	22-kHz call
11	Spectrogram 1	1	11.246245636	11.258952116	0.013	83817.8	85998.1	84472.7	84472.7	ch1-2018-11-20_10-17-43_0000004.wav	2180.3	SH
12	Spectrogram 1	1	11.843311751	12.556258677	0.713	19622.1	24709.3	21972.7	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	5087.2	22-kHz call
13	Spectrogram 1	1	12.751975831	13.364292567	0.612	19379.8	23982.6	21972.7	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	4602.8	22-kHz call
14	Spectrogram 1	1	13.461826861	13.472159425	0.010	67102.7	71649.5	69335.9	69335.9	ch1-2018-11-20_10-17-43_0000004.wav	4546.8	SH
15	Spectrogram 1	1	13.590310050	14.300561525	0.710	19137.6	23498.1	21972.7	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	4360.5	22-kHz call
16	Spectrogram 1	1	14.478208891	15.272019362	0.794	19622.1	23740.3	21484.4	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	4118.2	22-kHz call
17	Spectrogram 1	1	15.417421421	15.781307376	0.364	20348.8	24467.1	21972.7	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	4118.3	22-kHz call
18	Spectrogram 1	1	18.289070851	18.300751141	0.012	89874.0	92781.0	91308.6	91308.6	ch1-2018-11-20_10-17-43_0000004.wav	2907.0	SH
19	Spectrogram 1	1	19.429967347	20.118205967	0.688	20591.1	25678.3	22949.2	22949.2	ch1-2018-11-20_10-17-43_0000004.wav	5087.2	22-kHz call
20	Spectrogram 1	1	20.228941943	20.760844376	0.532	20348.8	23982.6	22460.9	22460.9	ch1-2018-11-20_10-17-43_0000004.wav	3633.8	22-kHz call
21	Spectrogram 1	1	20.980196786	21.679217212	0.699	20106.6	24951.6	21972.7	24902.3	ch1-2018-11-20_10-17-43_0000004.wav	4845.0	22-kHz call
22	Spectrogram 1	1	21.372682211	21.384645617	0.012	95445.7	99564.0	96679.7	96679.7	ch1-2018-11-20_10-17-43_0000004.wav	4118.3	SH
23	Spectrogram 1	1	21.884120326	21.891757438	0.008	93507.8	96657.0	95214.8	94726.6	ch1-2018-11-20_10-17-43_0000004.wav	3149.2	SH
24	Spectrogram 1	1	22.433316415	22.438707318	0.005	72572.8	75970.9	74707.0	74707.0	ch1-2018-11-20_10-17-43_0000004.wav	3398.1	SH
25	Spectrogram 1	1	29.347682736	30.622182062	1.274	19660.2	26941.7	22949.2	23925.8	ch1-2018-11-20_10-17-43_0000004.wav	7281.5	22-kHz call
26	Spectrogram 1	1	30.734314562	31.397195413	0.663	20388.3	25728.2	22460.9	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	5339.9	22-kHz call
27	Spectrogram 1	1	33.581327442	34.507215038	0.926	18446.6	24514.6	21484.4	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	6068.0	22-kHz call
28	Spectrogram 1	1	34.809301517	35.673642970	0.864	18203.9	23301.0	21484.4	21484.4	ch1-2018-11-20_10-17-43_0000004.wav	5097.1	22-kHz call
29	Spectrogram 1	1	34.835034405	34.868109704	0.033	51841.1	56928.3	55664.1	56152.3	ch1-2018-11-20_10-17-43_0000004.wav	5087.2	FM
30	Spectrogram 1	1	35.862074839	36.675651956	0.814	18446.6	24029.1	20996.1	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	5582.5	22-kHz call
31	Spectrogram 1	1	36.819703590	37.482335422	0.663	19417.5	23301.0	21484.4	21972.7	ch1-2018-11-20_10-17-43_0000004.wav	3883.5	22-kHz call
32	Spectrogram 1	1	37.616335464	38.220116604	0.604	18932.0	23543.7	20996.1	21484.4	ch1-2018-11-20_10-17-43_0000004.wav	4611.7	22-kHz call
33	Spectrogram 1	1	38.363820906	39.088897364	0.725	19417.5	24029.1	20996.1	21484.4	ch1-2018-11-20_10-17-43_0000004.wav	4611.6	22-kHz call
